"","features","scores"
"92","Parabacteroides_sp._OF04-13BH",-2.12585208668445
"93","Parabacteroides_sp._AF27-14",-2.11217310639947
"94","Parabacteroides_sp._AM44-16",-2.09926723455838
"95","Bacteroides_sp._AF37-16AC",-2.09554959048303
"96","Ruminococcus_sp._OM05-7",-2.08867999537534
"97","Bacteroides_oleiciplenus",-2.08630456146984
"98","Enterobacter_roggenkampii",-2.08545475092868
"99","Bacteroides_sp._AF15-14LB",-2.07133797474451
"100","Klebsiella_aerogenes",-2.06439628985622
"101","Bacteroides_sp._AF20-13LB",-2.05601328913591
"102","Bacteroides_sp._AM30-16",-2.04969094570317
"103","Bacteroides_stercorirosoris",-2.04900034514451
"104","Bacteroides_sp._AM23-12",-2.04638106710423
"105","Coprobacillus_sp._8_2_54BFAA",-2.03762511543595
"106","Clostridiales_bacterium_mt7",-2.03195678390032
"107","Parabacteroides_sp._AF18-52",-2.03043868079265
"108","Alistipes_timonensis",-2.03038656274126
"109","Bacteroides_cellulosilyticus_CAG:158",-2.02494686637289
"2288","Prevotella_baroniae",2.00157239958083
"2289","Pelosinus_fermentans",2.00158323457788
"2290","Clostridium_sp._AF35-15",2.00160509581926
"2291","Porphyromonas_asaccharolytica",2.00658770324884
"2292","Prevotella_sp._CAG:474",2.02157476531544
"2293","Eubacterium_rectale_CAG:36",2.0235418546507
"2294","Bacteroides_plebeius_CAG:211",2.03091047150779
"2295","Clostridium_sp._TF11-13AC",2.04180796236176
"2296","Clostridiales_bacterium_AF36-10",2.04520818679866
"2297","Sutterella_sp._KLE1602",2.04677503951896
"2298","Clostridium_sp._OF13-4",2.05328305298553
"2299","Clostridium_sp._AF23-8",2.05449019664768
"2300","Clostridium_sp._AF21-20LB",2.05861672931131
"2301","Eubacterium_sp._CAG:581",2.0648795116197
"2302","Porphyromonas_bennonis",2.06703104581212
"2303","Clostridium_sp._AF27-5AA",2.07106266281842
"2304","Firmicutes_bacterium_CAG:129_59_24",2.07953573509246
"2305","Clostridium_sp._AF27-2AA",2.0841808673794
"2306","Clostridium_sp._AM28-20LB",2.08954499118404
"2307","Paraprevotella_xylaniphila",2.09066743287471
"2308","Clostridium_sp._TF06-15AC",2.09741818512229
"2309","Clostridium_sp._AF22-10",2.10358724210288
"2310","Prevotella_intermedia",2.10778603855606
"2311","Clostridium_sp._AF02-29",2.11317906709341
"2312","Bacteroides_sp._CAG:530",2.11798265622669
"2313","Prevotella_sp._PINT",2.12256325918697
"2314","Prevotella_oris",2.12413005746569
"2315","Lactobacillus_mucosae",2.12744674602948
"2316","Prevotella_sp._P4-67",2.12974194668982
"2317","Clostridium_sp._AF32-7AC",2.13185315930666
"2318","Roseburia_inulinivorans_CAG:15",2.13826723062716
"2319","Clostridium_sp._AM32-2",2.14553140621389
"2320","Candidatus_Gastranaerophilales_bacterium_HUM_23",2.1500570165863
"2321","Prevotella_sp._P4-98",2.15208801648856
"2322","Clostridium_sp._AF20-7",2.15501943934359
"2323","Porphyromonas_uenonis",2.15888943575618
"2324","Clostridium_sp._AM42-36",2.16230956943552
"2325","Dialister_succinatiphilus",2.17094290980655
"2326","Clostridium_sp._AM22-11AC",2.17615514610428
"2327","Bacteroidetes_bacterium_GWD2_45_23",2.18182163463
"2328","Clostridium_sp._AF24-2LB",2.1884562390253
"2329","Selenomonas_sp._oral_taxon_149",2.18931560217008
"2330","Catenibacterium_sp._co_0103",2.19697133783838
"2331","Prevotella_sp._P4-51",2.21497363852256
"2332","Clostridium_sp._AF37-7",2.2184199023422
"2333","Prevotella_sp._AG:487_50_53",2.22828479083376
"2334","Roseburia_sp._CAG:18_43_25",2.23887349011157
"2335","Paraprevotella_clara_CAG:116",2.23948698216444
"2336","Clostridium_sp._AM27-28",2.24053577966744
"2337","Catenibacterium_sp._CAG:290",2.24842523493716
"2338","Clostridium_sp._OM08-29",2.24919967384625
"2339","Clostridium_sp._OM05-5BH",2.25195229984383
"2340","Syntrophaceticus_schinkii",2.25411954748839
"2341","Prevotella_ruminicola",2.25501872544526
"2342","Sutterella_sp._63_29",2.26303028062876
"2343","uncultured_bacterium_122006-I05",2.26699861409882
"2344","Clostridium_sp._CAG:127",2.26952329595645
"2345","Clostridium_sp._AM43-3BH",2.28081712052056
"2346","Porphyromonas_loveana",2.28574737335926
"2347","Megasphaera_genomosp._type_2",2.29558399262954
"2348","Prevotella_sp._P2-180",2.29624994505416
"2349","Clostridium_sp._AF29-8BH",2.29626823537392
"2350","Prevotella_bryantii",2.31258510844196
"2351","Dialister_invisus_CAG:218",2.31603363772978
"2352","Prevotella_buccalis",2.31624455367012
"2353","Clostridium_sp._AM33-3",2.3208137750833
"2354","Prevotella_multisaccharivorax",2.33139380992603
"2355","Methanobrevibacter_sp._A54",2.3325741407057
"2356","Butyricicoccus_sp._OM04-18BH",2.33693086342518
"2357","Prevotella_ihumii",2.37032790213071
"2358","Prevotella_sp._CAG:891",2.37773864284486
"2359","Porphyromonas_sp._HMSC065F10",2.37836789755161
"2360","Clostridium_sp._AF43-10",2.38480211287686
"2361","Lachnospiraceae_bacterium_AM48-27BH",2.40091772243043
"2362","Romboutsia_timonensis",2.42001504511565
"2363","Prevotella_sp._oral_taxon_317",2.43791413576781
"2364","Clostridiaceae_bacterium_OM08-6BH",2.43794684124981
"2365","Prevotella_marseillensis",2.44395949935796
"2366","Clostridium_sp._AF15-6B",2.45124669058696
"2367","Clostridium_sp._AF50-3",2.46064855523759
"2368","Prevotella_disiens",2.46544274548073
"2369","Clostridium_sp._OM04-7",2.47069257252555
"2370","Prevotella_sp._CAG:487",2.50184465484337
"2371","bacterium_P201",2.50263595868856
"2372","Prevotella_lascolaii",2.50471058478585
"2373","Clostridium_sp._AM18-55",2.51571300046599
"2374","Collinsella_aerofaciens",2.53183759549682
"2375","Roseburia_hominis",2.5547166448692
"2376","Allisonella_histaminiformans",2.56161491147062
"2377","Catenibacterium_sp._AM22-15",2.56627815130668
"2378","Prevotella_sp._CAG:1092",2.5802818540372
"2379","Bacteroides_sp._CAG:545",2.61428202573532
"2380","Prevotella_sp._P5-64",2.61698596356694
"2381","Prevotella_sp._S7-1-8",2.63555813268164
"2382","Prevotella_sp._CAG:520",2.67360802168591
"2383","Prevotella_pallens",2.68845001478486
"2384","Stenotrophomonas_maltophilia",2.72172576227562
"2385","Prevotella_pectinovora",2.73020610071824
"2386","Clostridium_sp._CAG:780",2.7365762187588
"2387","Prevotella_sp._CAG:732",2.79071626470209
"2388","Prevotella_sp._CAG:279",2.80747834242158
"2389","Desulfovibrio_piger",2.82326022372406
"2390","Clostridium_sp._OM04-12AA",2.84533944097776
"2391","Bacteroides_coprocola_CAG:162",2.85298047672068
"2392","Faecalibacterium_sp._OF04-11AC",2.8646210137586
"2393","Prevotella_sp._Marseille-P4119",2.87978631675246
"2394","Megasphaera_sp._BL7",2.90507542501826
"2395","Eubacterium_sp._CAG:251",2.90790406366026
"2396","Clostridium_sp._TM06-18",2.91367155675855
"2397","Roseburia_sp._TF10-5",2.97150517595395
"2398","Prevotella_stercorea_CAG:629",2.97820614999303
"2399","Bacteriophage_sp.",2.99006503175505
"2400","Megasphaera_sp._NM10",3.01945292490709
"2401","Megamonas_funiformis_CAG:377",3.04204016544319
"2402","Eubacterium_sp._CAG:38",3.06046854865403
"2403","Prevotella_sp._CAG:604",3.0723935927935
"2404","Sharpea_azabuensis",3.11251689910703
"2405","Dialister_massiliensis",3.1330458376757
"2406","Dialister_sp._CAG:486",3.19944789035509
"2407","Bacteroides_coprophilus_CAG:333",3.24509957176009
"2408","Roseburia_faecis",3.31110803277885
"2409","Phocaeicola_plebeius",3.33336292992015
"2410","Alistipes_sp._CAG:435",3.35645244691212
"2411","Prevotella_sp._885",3.37478653371865
"2412","Rikenellaceae_bacterium",3.39380291235287
"2413","Prevotella_sp._AM34-19LB",3.4399817262681
"2414","Prevotella_sp._AM42-24",3.47326652676332
"2415","Ruminococcus_sp._CAG:177",3.49316415001703
"2416","Dialister_hominis",3.5553646708032
"2417","Prevotella_sp._CAG:386",3.56193154705794
"2418","Alistipes_sp._CAG:514",3.59933170776152
"2419","Prevotella_hominis",3.64593478087224
"2420","Megamonas_hypermegale",3.65339507738202
"2421","Phascolarctobacterium_succinatutens",3.66527671729894
"2422","Megamonas_sp._Calf98-2",3.69227396480196
"2423","Dialister_sp._CAG:357",3.74568637021718
"2424","Eubacterium_sp._CAG:180",3.77836439387303
"2425","Prevotella_copri_CAG:164",3.80945970892724
"2426","[Eubacterium]_rectale",3.81509027597763
"2427","Prevotella_sp._TF12-30",3.84665638392169
"2428","Prevotella_sp._AM23-5",3.90735280624169
"2429","Megamonas_rupellensis",4.10484146190536
